Priority_Rank,Project_ID,Project_Name,Project_Type,City,State,Client_Type,Contract_Type,Delivery_Method,Project_Manager_ID,Project_Status,Current_Phase,Latest_Reporting_Date,Original_Budget,Current_Budget,Original_Contingency,Planned_Value,Earned_Value,Actual_Cost,Committed_Cost,Percent_Complete,Planned_End_Date,Forecast_End_Date,Contingency_Used,Latest_Open_RFI_Count,CO_Count,Approved_CO_Count,Total_Approved_CO_Value,Total_Pending_CO_Value,Approved_CO_Schedule_Days,Avg_CO_Approval_Days,RFI_Count,Open_RFI_Total,Avg_RFI_Response_Days,Late_RFI_Count,Impacted_RFI_Count,Total_RFI_Cost_Impact,Total_RFI_Schedule_Days,CPI,SPI,Cost_Variance,Schedule_Variance,EAC,ETC,VAC,Forecast_Overrun_Pct,Cost_Growth_Pct,Schedule_Delay_Days,Approved_CO_Pct,Pending_CO_Pct,Contingency_Utilization_Pct,Contingency_Burn_Ratio,Late_RFI_Rate,Impacted_RFI_Rate,RFI_per_10M,CO_per_10M,Health_Status,Critical_Trigger_Count,Watch_Trigger_Count,Primary_Risk_Driver,All_Risk_Triggers
11,PRJ-014,Mountain Gate Bridge Rehabilitation,Heavy Civil & Infrastructure,Las Vegas,NV,Public,Unit Price,Design-Build,PM-008,Active,Construction,2025-12-31,102493600,105736500,7725500,96470100,90484300,112385400,131120500,88.3,2026-05-10,2026-07-23,5901700,3,8,8,3242900,0,68,43.75,22,2,18.54545455,19,4,168200,31,0.80512504,0.93795176,-21901100,-5985800,127301468.13800848,14916068.13800848,-24807868.13800848,0.24204309,0.03164002,74,0.03164002,0.0,0.76392467,0.86514685,0.86363636,0.18181818,2.14647549,0.78053654,Red,3,2,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; SPI < 0.95; Contingency used > 75%
12,PRJ-024,Northstar Technology Facility,Industrial,Albuquerque,NM,Private,Unit Price,Design-Bid-Build,PM-006,Active,Construction,2025-12-31,172542200,179412400,8046600,164114100,155101100,191733000,219692100,89.9,2026-03-14,2026-04-26,7022000,3,9,7,6870200,478700,76,52.57142857,25,2,18.6,23,5,188300,25,0.80894317,0.94508089,-36631900,-9013000,213293352.73960015,21560352.73960015,-40751152.73960015,0.23618079,0.03981751,43,0.03981751,0.00277439,0.87266672,0.97070825,0.92,0.2,1.4489209,0.52161152,Red,3,2,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; SPI < 0.95; Contingency used > 75%
13,PRJ-030,Wasatch View Town Center,Mixed-Use,Meridian,ID,Public,Unit Price,Design-Bid-Build,PM-011,Complete,Closeout,2025-12-31,253200300,259343000,12089600,253200300,253200300,306003100,316277500,100.0,2025-09-19,2025-12-22,9983000,3,11,7,6142700,4495600,89,42.71428571,24,3,15.625,20,7,221300,23,0.82744358,1.0,-52802800,0,306003100.0,0.0,-52802800.0,0.20854162,0.02426024,94,0.02426024,0.01775511,0.82575106,0.82575106,0.83333333,0.29166667,0.94786618,0.43443866,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
14,PRJ-038,Mountain Gate Business Park,Commercial,Idaho Falls,ID,Private,Unit Price,Integrated Project Delivery,PM-008,Complete,Closeout,2024-05-31,22273300,22592200,1367500,22273300,22273300,26865200,27671200,100.0,2024-02-15,2024-05-26,1045900,3,9,4,318900,155600,21,36.0,20,4,15.0,16,4,165000,17,0.82907628,1.0,-4591900,0,26865200.0,0.0,-4591900.0,0.20616164,0.01431759,101,0.01431759,0.00698594,0.76482633,0.76482633,0.8,0.2,8.97936094,4.04071242,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
15,PRJ-056,Evergreen Medical Center,Institutional,Fort Worth,TX,Public,Lump Sum,Design-Bid-Build,PM-004,Complete,Closeout,2024-04-30,32329300,33008800,2313900,32329300,32329300,38880700,40047200,100.0,2024-02-18,2024-04-03,1903000,4,8,6,681400,275300,55,49.33333333,19,4,14.78947368,15,5,63000,26,0.83149995,1.0,-6551400,0,38880700.0,0.0,-6551400.0,0.2026459,0.02101809,45,0.02107686,0.0085155,0.82242102,0.82242102,0.78947368,0.26315789,5.87702177,2.47453548,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
16,PRJ-067,Wasatch View Retail Center,Commercial,Austin,TX,Private,Cost Plus,Integrated Project Delivery,PM-003,Complete,Closeout,2025-10-31,43895700,44964800,3817000,43895700,43895700,52640800,54220100,100.0,2025-09-20,2025-10-30,3325900,5,7,4,1069100,477300,52,65.75,20,3,13.85,14,9,158400,41,0.83387221,1.0,-8745100,0,52640800.0,0.0,-8745100.0,0.19922453,0.02435546,40,0.02435546,0.0108735,0.87133875,0.87133875,0.7,0.45,4.55625494,1.59468923,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
17,PRJ-074,Evergreen Civic Center,Institutional,Fresno,CA,Public,Cost Plus,Design-Bid-Build,PM-003,Complete,Closeout,2024-11-30,65376400,67923400,4502800,65376400,65376400,77449800,79773300,100.0,2024-09-05,2024-11-22,3787500,4,7,5,2547000,88000,34,29.2,21,4,15.76190476,17,7,170700,37,0.84411322,1.0,-12073400,0,77449800.0,0.0,-12073400.0,0.1846752,0.03895901,78,0.03895901,0.00134605,0.84114329,0.84114329,0.80952381,0.33333333,3.21216831,1.07072277,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
18,PRJ-060,Mesa Vista Office Center,Commercial,Dallas,TX,Public,Lump Sum,Design-Build,PM-011,Complete,Closeout,2024-04-30,20440400,20956500,1974100,20440400,20440400,24131000,24854900,100.0,2024-02-07,2024-04-13,1469000,3,9,5,519800,15500,48,47.2,15,4,14.53333333,10,3,66000,10,0.8470598,1.0,-3690600,0,24131000.0,0.0,-3690600.0,0.1805542,0.02524902,66,0.02543003,0.0007583,0.74413657,0.74413657,0.66666667,0.2,7.33840825,4.40304495,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
19,PRJ-062,Riverbend Distribution Center,Industrial,Henderson,NV,Private,Lump Sum,Design-Bid-Build,PM-006,Active,Procurement,2025-12-31,56681500,57822100,3485200,27142400,25082900,29579800,39035400,44.3,2027-07-01,2027-08-26,1581700,5,11,5,1140600,1602500,34,61.0,24,5,17.5,19,8,178000,26,0.84797396,0.92412241,-4496900,-2059500,66843444.48608414,37263644.48608414,-10161944.48608414,0.1792815,0.02012297,56,0.02012297,0.02827201,0.45383335,1.02445452,0.79166667,0.33333333,4.23418576,1.94066847,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; SPI < 0.95
20,PRJ-032,Silver Lake Distribution Center,Industrial,Las Cruces,NM,Private,Guaranteed Maximum Price,Design-Build,PM-012,Complete,Closeout,2025-06-30,166470500,176506400,10548900,166470500,166470500,195288100,202841800,100.0,2025-04-16,2025-06-13,8023600,4,10,8,10035900,248300,51,43.5,17,3,13.47058824,13,3,74700,20,0.85243545,1.0,-28817600,0,195288100.0,0.0,-28817600.0,0.17310935,0.06028636,58,0.06028636,0.00149156,0.76061011,0.76061011,0.76470588,0.17647059,1.02120195,0.60070703,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
21,PRJ-020,Granite Peak Housing,Residential,Mesa,AZ,Public,Unknown,Design-Build,PM-001,Complete,Closeout,2025-09-30,35061100,35288000,3074600,35061100,35061100,40963700,43434400,100.0,2025-08-16,2025-09-26,2444400,6,9,2,226900,534300,21,74.5,24,5,13.75,17,6,345600,15,0.85590657,1.0,-5902600,0,40963700.0,0.0,-5902600.0,0.16835182,0.00647156,41,0.00647156,0.01523911,0.79503025,0.79503025,0.70833333,0.25,6.84519311,2.56694741,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
22,PRJ-004,Red Rock Urban Village,Mixed-Use,Albuquerque,NM,Private,Lump Sum,Design-Bid-Build,PM-007,Complete,Closeout,2025-03-31,118914500,122268000,6654300,118914500,118914500,138905600,144409700,100.0,2025-01-19,2025-03-08,5132500,4,7,5,3353500,0,44,55.2,22,6,13.77272727,16,4,103000,12,0.8560814,1.0,-19991100,0,138905600.0,0.0,-19991100.0,0.16811322,0.02820093,48,0.02820093,0.0,0.77130577,0.77130577,0.72727273,0.18181818,1.85006875,0.58865824,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
23,PRJ-002,Westfield Town Center,Mixed-Use,Salem,OR,Public,Guaranteed Maximum Price,CMAR,PM-005,Complete,Closeout,2024-07-31,212894800,221375700,11291700,212894800,212894800,248382500,259096400,100.0,2024-05-17,2024-07-25,8462500,2,9,5,8480900,1563700,23,45.8,18,2,15.16666667,16,4,81400,16,0.8571248,1.0,-35487700,0,248382500.0,0.0,-35487700.0,0.16669125,0.03983611,69,0.03983611,0.00734494,0.74944428,0.74944428,0.88888889,0.22222222,0.84548801,0.422744,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
24,PRJ-040,Silver Lake Learning Center,Institutional,Riverside,CA,Public,Unit Price,Design-Build,PM-003,Complete,Closeout,2025-08-31,92261500,93973600,5190200,92261500,92261500,107627000,111449600,100.0,2025-06-17,2025-08-23,3965200,6,6,4,1712100,0,54,37.0,22,8,13.27272727,13,7,122200,17,0.85723378,1.0,-15365500,0,107627000.0,0.0,-15365500.0,0.16654292,0.01855704,67,0.01855704,0.0,0.76397827,0.76397827,0.59090909,0.31818182,2.38452659,0.65032543,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
25,PRJ-070,Wasatch View Main Street Development,Mixed-Use,Scottsdale,AZ,Public,Guaranteed Maximum Price,Design-Build,PM-006,Active,Construction,2025-12-31,245591800,247663800,20109300,230300000,220550300,256495600,299404900,89.8,2026-06-11,2026-08-11,14832300,6,7,3,2072000,1629300,13,50.33333333,22,5,15.68181818,16,6,185900,25,0.85985997,0.95766522,-35945300,-9749700,285618365.04452723,29122765.04452723,-40026565.04452723,0.16298005,0.00843676,61,0.00843676,0.00663418,0.7375841,0.82136314,0.72727273,0.27272727,0.89579538,0.2850258,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
26,PRJ-053,Summit Point Bridge Rehabilitation,Heavy Civil & Infrastructure,Scottsdale,AZ,Public,Lump Sum,Design-Build,PM-006,Active,Closeout,2025-12-31,125893400,130412400,10257700,125892600,124993400,145003800,153126200,99.3,2026-01-01,2026-02-04,8276000,5,9,8,4519000,555200,58,46.25,20,4,15.05,14,7,75900,33,0.86200086,0.9928574,-20010400,-899200,146047882.48755533,1044082.48755533,-20154482.48755533,0.16009165,0.03589545,34,0.03589545,0.00441008,0.80680854,0.81249602,0.7,0.35,1.58864563,0.71489053,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
27,PRJ-018,Summit Point Retail Center,Commercial,Tempe,AZ,Private,Lump Sum,Design-Build,PM-012,Complete,Closeout,2025-04-30,86603400,89995700,5291900,86603400,86603400,99602900,104032500,100.0,2025-02-18,2025-04-24,3646200,3,6,6,3392300,0,36,45.0,26,4,16.88461538,22,10,343500,38,0.86948673,1.0,-12999500,0,99602900.0,0.0,-12999500.0,0.15010381,0.03917052,65,0.03917052,0.0,0.68901529,0.68901529,0.84615385,0.38461538,3.0021916,0.69281345,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
28,PRJ-061,Riverbend Business Park,Commercial,Tempe,AZ,Private,Guaranteed Maximum Price,Design-Build,PM-007,Complete,Closeout,2024-05-31,50400400,52995000,3036000,50400400,50400400,57773800,61412100,100.0,2024-04-15,2024-05-29,2290100,2,10,8,2594600,142200,85,49.625,21,3,15.28571429,18,1,3200,6,0.87237468,1.0,-7373400,0,57773800.0,0.0,-7373400.0,0.14629646,0.05147975,44,0.05147975,0.00282141,0.75431489,0.75431489,0.85714286,0.04761905,4.1666336,1.98411124,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
29,PRJ-063,Copper Creek Water Program,Heavy Civil & Infrastructure,Albuquerque,NM,Public,Cost Plus,Integrated Project Delivery,PM-003,Active,Construction,2025-12-31,260432500,271624500,23076800,210698400,201803900,229839300,277668600,77.5,2026-09-04,2026-10-09,15551100,4,9,8,11192000,377800,56,54.0,24,3,15.58333333,20,8,350600,45,0.87802173,0.95778563,-28035400,-8894500,296612818.17274094,66773518.17274094,-36180318.17274094,0.13892398,0.04297467,35,0.04297467,0.00145066,0.67388459,0.86952851,0.83333333,0.33333333,0.92154397,0.34557899,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
30,PRJ-027,Pioneer Crossing Market Hall,Commercial,Santa Fe,NM,Private,Unit Price,Integrated Project Delivery,PM-009,Active,Construction,2025-12-31,17917700,18159800,846000,16350100,15610700,17742500,20975500,87.1,2026-05-13,2026-06-22,556400,1,6,4,242100,133500,45,54.0,16,1,15.875,14,4,93600,21,0.87984782,0.95477704,-2131800,-739400,20364544.33497537,2622044.33497537,-2446844.33497537,0.13656018,0.01351178,40,0.01351178,0.00745073,0.65768322,0.7550898,0.875,0.25,8.92971754,3.34864408,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
31,PRJ-035,Copper Creek Transit-Oriented Development,Mixed-Use,Aurora,CO,Private,Lump Sum,Design-Bid-Build,PM-011,Complete,Closeout,2024-11-30,159465200,161802600,7279100,159465200,159465200,180980800,186636200,100.0,2024-09-13,2024-11-02,5005700,1,4,4,2337400,0,17,38.5,25,1,16.36,21,9,400500,28,0.88111667,1.0,-21515600,0,180980800.0,0.0,-21515600.0,0.13492348,0.01465774,50,0.01465774,0.0,0.68768117,0.68768117,0.84,0.36,1.56774017,0.25083843,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
32,PRJ-065,Pioneer Crossing Logistics Hub,Industrial,Santa Fe,NM,Private,Unit Price,Design-Build,PM-011,Complete,Closeout,2024-01-31,105687000,108219700,9067800,105687000,105687000,119776500,124835300,100.0,2023-11-09,2024-01-06,5734500,1,9,7,2532700,120000,57,36.42857143,19,2,16.57894737,15,6,108100,18,0.88236841,1.0,-14089500,0,119776500.0,0.0,-14089500.0,0.13331346,0.02396416,58,0.02396416,0.00113543,0.63240257,0.63240257,0.78947368,0.31578947,1.79776131,0.85157115,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
33,PRJ-043,Copper Creek Logistics Hub,Industrial,Dallas,TX,Private,Cost Plus,CMAR,PM-007,Complete,Closeout,2025-07-31,249765500,259244400,24582100,249765500,249765500,279794600,290932300,100.0,2025-06-14,2025-07-22,18887900,2,10,9,9478900,0,43,43.44444444,21,5,14.61904762,16,6,229900,40,0.89267448,1.0,-30029100,0,279794600.0,0.0,-30029100.0,0.12022917,0.0379512,38,0.0379512,0.0,0.7683599,0.7683599,0.76190476,0.28571429,0.84078866,0.40037555,Red,3,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%
34,PRJ-039,Riverbend Civic Center,Institutional,Henderson,NV,Public,Unit Price,CMAR,PM-001,Complete,Closeout,2024-04-30,37607400,38041300,3050400,37607400,37607400,42019900,43280500,100.0,2024-02-17,2024-04-04,1597400,2,6,4,433900,233200,18,32.75,26,3,13.34615385,19,3,100300,9,0.89499023,1.0,-4412500,0,42019900.0,0.0,-4412500.0,0.11733063,0.01153762,47,0.01153762,0.00620091,0.52366903,0.52366903,0.73076923,0.11538462,6.91353297,1.59543069,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
35,PRJ-058,Silver Lake Civic Center,Institutional,Salt Lake City,UT,Public,Lump Sum,Design-Bid-Build,PM-011,Complete,Closeout,2025-09-30,44536700,45550800,4216600,44536700,44536700,49738600,51230800,100.0,2025-07-11,2025-09-04,2742700,1,7,5,1014100,605200,28,37.6,13,2,15.07692308,10,5,169500,16,0.89541523,1.0,-5201900,0,49738600.0,0.0,-5201900.0,0.1168003,0.02276999,55,0.02276999,0.01358879,0.65045297,0.65045297,0.76923077,0.38461538,2.91894101,1.57173747,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
36,PRJ-003,Mountain Gate Living Community,Residential,Santa Fe,NM,Private,Guaranteed Maximum Price,Design-Build,PM-004,Complete,Closeout,2025-04-30,55221600,56325600,3875600,55221600,55221600,61577600,63566100,100.0,2025-03-11,2025-04-22,2292100,3,7,6,1104000,0,60,34.66666667,17,2,15.47058824,14,5,223000,21,0.89678065,1.0,-6356000,0,61577600.0,0.0,-6356000.0,0.11509989,0.01999218,42,0.01999218,0.0,0.5914181,0.5914181,0.82352941,0.29411765,3.07850551,1.26761992,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
37,PRJ-072,Riverbend Residences,Residential,Lehi,UT,Public,Cost Plus,CMAR,PM-004,Complete,Closeout,2024-10-31,49424500,50333400,3642300,49424500,49424500,55077200,56730600,100.0,2024-08-13,2024-10-02,2167900,1,10,5,908900,306800,31,28.2,20,2,16.15,17,4,45300,6,0.89736769,1.0,-5652700,0,55077200.0,0.0,-5652700.0,0.1143704,0.01838967,50,0.01838967,0.00620745,0.59520083,0.59520083,0.85,0.2,4.04657609,2.02328805,Red,3,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days
38,PRJ-016,Canyon Ridge Processing Plant,Industrial,Salt Lake City,UT,Private,Lump Sum,Design-Build,PM-008,Complete,Closeout,2023-03-31,56509100,56919400,5602900,56509100,56509100,68477200,70999100,100.0,2023-03-17,2023-03-28,4581200,3,7,2,410300,941700,28,48.5,22,3,16.0,17,6,104600,30,0.82522504,1.0,-11968100,0,68477200.0,0.0,-11968100.0,0.21179067,0.00726078,11,0.00726078,0.01666457,0.817648,0.817648,0.77272727,0.27272727,3.89317827,1.23873854,Red,2,1,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Contingency used > 75%
39,PRJ-031,Canyon Ridge Medical Center,Institutional,Las Cruces,NM,Public,Guaranteed Maximum Price,CMAR,PM-007,Complete,Closeout,2024-06-30,15252700,15359400,1074000,15252700,15252700,18410900,18963200,100.0,2024-05-13,2024-06-07,944100,4,5,3,106700,242300,37,58.33333333,27,6,15.37037037,21,10,752100,54,0.82846031,1.0,-3158200,0,18410900.0,0.0,-3158200.0,0.20705842,0.00699548,25,0.00699548,0.01588571,0.87905028,0.87905028,0.77777778,0.37037037,17.70178395,3.27810814,Red,2,2,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 15 days; Contingency used > 75%
40,PRJ-008,Northstar Community College,Institutional,Las Cruces,NM,Private,Lump Sum,Design-Bid-Build,PM-012,Complete,Closeout,2025-07-31,122227200,127351100,6535400,122227200,122227200,144902900,149285000,100.0,2025-07-07,2025-07-30,5522200,5,11,8,5123900,0,66,50.375,24,6,14.0,18,11,320700,54,0.84351107,1.0,-22675700,0,144902900.0,0.0,-22675700.0,0.1855209,0.04192111,23,0.04192111,0.0,0.84496741,0.84496741,0.75,0.45833333,1.96355639,0.89996335,Red,2,2,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 15 days; Contingency used > 75%
41,PRJ-042,Northstar Corporate Campus,Commercial,Salem,OR,Private,Cost Plus,Design-Build,PM-008,Complete,Closeout,2023-10-31,8337500,8438700,494500,8337500,8337500,9359700,9648200,100.0,2023-10-13,2023-10-13,344100,2,6,5,101200,0,57,39.8,21,2,12.23809524,14,4,81300,15,0.8907871,1.0,-1022200,0,9359700.0,0.0,-1022200.0,0.1226027,0.01213793,0,0.01213793,0.0,0.6958544,0.6958544,0.66666667,0.19047619,25.1874063,7.1964018,Red,2,0,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%
